stage,model,split,threshold_mode,auroc,average_precision,f1,micro_f1,positive_count,structured_feature_dim,subset_name,feature_selection
stage14l_concordant_subset,stage27_concordance_138_structured_mlp,val,default_0.5,0.579789140883041,0.313896601202105,0.0007504690431519,0.0007165890361877,2786,138.0,concordance_138,concordance_138
stage14l_concordant_subset,stage27_concordance_138_structured_mlp,test,default_0.5,0.5703637296030353,0.3044559717118323,0.0,0.0,2792,138.0,concordance_138,concordance_138
stage14l_concordant_subset,stage27_concordance_138_structured_mlp,val,validation_tuned,0.579789140883041,0.313896601202105,0.4032162724802695,0.4266737045834433,2786,138.0,concordance_138,concordance_138
stage14l_concordant_subset,stage27_concordance_138_structured_mlp,test,validation_tuned,0.5703637296030353,0.3044559717118323,0.4002045830166256,0.4237898620750241,2792,138.0,concordance_138,concordance_138
stage14l_concordant_subset,stage27_concordance_138_matched_concat_mlp,val,default_0.5,0.9129894258788795,0.7782599040935113,0.6867914842480689,0.7542087542087542,2786,138.0,concordance_138,concordance_138
stage14l_concordant_subset,stage27_concordance_138_matched_concat_mlp,test,default_0.5,0.9096655689447324,0.7730997819573394,0.6938211645939891,0.7547239718414227,2792,138.0,concordance_138,concordance_138
stage14l_concordant_subset,stage27_concordance_138_matched_concat_mlp,val,validation_tuned,0.9129894258788795,0.7782599040935113,0.7250787277095684,0.7686247645144717,2786,138.0,concordance_138,concordance_138
stage14l_concordant_subset,stage27_concordance_138_matched_concat_mlp,test,validation_tuned,0.9096655689447324,0.7730997819573394,0.7145011116774924,0.7581004628835933,2792,138.0,concordance_138,concordance_138
,stage27_random_138_seed2026_structured_mlp,val,default_0.5,0.8810893853353198,0.7110949984722249,0.6188899390023559,0.6815556411243743,2786,,random_138_seed2026,random_138_seed2026
,stage27_random_138_seed2026_structured_mlp,test,default_0.5,0.8693879835783379,0.7043800312283999,0.6234805493691897,0.6885560675883257,2792,,random_138_seed2026,random_138_seed2026
,stage27_random_138_seed2026_structured_mlp,val,validation_tuned,0.8810893853353198,0.7110949984722249,0.6613549347411727,0.6962570387545545,2786,,random_138_seed2026,random_138_seed2026
,stage27_random_138_seed2026_structured_mlp,test,validation_tuned,0.8693879835783379,0.7043800312283999,0.6646900371811684,0.7023968042609854,2792,,random_138_seed2026,random_138_seed2026
,stage27_random_138_seed2026_matched_concat_mlp,val,default_0.5,0.9192042001153756,0.7933555235389693,0.7156053222381226,0.7681266102318733,2786,,random_138_seed2026,random_138_seed2026
,stage27_random_138_seed2026_matched_concat_mlp,test,default_0.5,0.9195223461778872,0.7960056102836642,0.7110069533724132,0.7644265887509131,2792,,random_138_seed2026,random_138_seed2026
,stage27_random_138_seed2026_matched_concat_mlp,val,validation_tuned,0.9192042001153756,0.7933555235389693,0.7379277372335024,0.7735368956743003,2786,,random_138_seed2026,random_138_seed2026
,stage27_random_138_seed2026_matched_concat_mlp,test,validation_tuned,0.9195223461778872,0.7960056102836642,0.7311911735570215,0.7690742624618515,2792,,random_138_seed2026,random_138_seed2026
,stage27_importance_138_internal_xai_structured_mlp,val,default_0.5,0.909136782376056,0.763605196116411,0.6886462814962329,0.7301063439677301,2786,,importance_138_internal_xai,importance_138_internal_xai
,stage27_importance_138_internal_xai_structured_mlp,test,default_0.5,0.9084520159564275,0.7752843542692722,0.6982461033627891,0.7389867841409692,2792,,importance_138_internal_xai,importance_138_internal_xai
,stage27_importance_138_internal_xai_structured_mlp,val,validation_tuned,0.909136782376056,0.763605196116411,0.7140167279408137,0.7415839973979509,2786,,importance_138_internal_xai,importance_138_internal_xai
,stage27_importance_138_internal_xai_structured_mlp,test,validation_tuned,0.9084520159564275,0.7752843542692722,0.7083826316823927,0.7358428805237316,2792,,importance_138_internal_xai,importance_138_internal_xai
,stage27_importance_138_internal_xai_matched_concat_mlp,val,default_0.5,0.9247194328721,0.8035174116901749,0.7277189849357313,0.7667394468704513,2786,,importance_138_internal_xai,importance_138_internal_xai
,stage27_importance_138_internal_xai_matched_concat_mlp,test,default_0.5,0.92208133971426,0.8030501742697769,0.7309754990929301,0.7702653580516176,2792,,importance_138_internal_xai,importance_138_internal_xai
,stage27_importance_138_internal_xai_matched_concat_mlp,val,validation_tuned,0.9247194328721,0.8035174116901749,0.7436100691140711,0.7769760026850142,2786,,importance_138_internal_xai,importance_138_internal_xai
,stage27_importance_138_internal_xai_matched_concat_mlp,test,validation_tuned,0.92208133971426,0.8030501742697769,0.7353513387981805,0.7667891747410625,2792,,importance_138_internal_xai,importance_138_internal_xai
