epoch,train_loss,val_macro_auroc,val_macro_f1
1,0.2426598501684022,0.9091270836808938,0.7118665145650922
2,0.22349896243888967,0.9113478095348395,0.7017602690752025
3,0.21907469847776595,0.9114909033976659,0.7014596797765581
4,0.2173370019580326,0.9111150093778088,0.702453588225766
5,0.21752507212388256,0.9119936725777146,0.6940101819372613
6,0.2155199691544484,0.9111513472253913,0.6980253605755429
7,0.21662440112907522,0.9116811827297713,0.6957167536483062
8,0.2146410227474505,0.9124273606853468,0.6976158663554405
9,0.2156796347703377,0.9108275699698641,0.6954913042876283
10,0.21474596749256997,0.9119311644218936,0.7005437645352302
11,0.21535690552996892,0.9116748260593207,0.6932520724255544
12,0.2125551998071427,0.911338236882618,0.6867844573103317
13,0.21342848948318593,0.9111417485182265,0.6949243276755831
14,0.21275929954365222,0.9110430959860951,0.7003914068804045
15,0.21285317359614547,0.9120478326681061,0.7032374515339413
