base_feature,summary_statistic,n_features,n_pairs,n_allclose,median_mean_abs_error,max_mean_abs_error,median_max_abs_error,allclose_rate
T_DurFull,mean,12,36,0,78.57142857142857,163.7142857142857,126.71428571428572,0.0
QT_IntFramingham,mean,1,3,0,67.72820779220784,67.72820779220784,103.32181818181824,0.0
QT_Int,mean,13,39,0,56.96103896103896,216.6060606060606,95.09090909090908,0.0
T_Dur,mean,1,3,0,55.82683982683981,55.82683982683981,57.45454545454544,0.0
QT_Int,iqr,13,39,0,43.666666666666664,63.333333333333336,69.0,0.0
T_DurFull,iqr,12,36,0,39.83333333333333,87.33333333333333,58.5,0.0
QT_IntFramingham,iqr,1,3,0,38.85449999999994,38.85449999999994,56.9665,0.0
T_Dur,iqr,1,3,0,36.666666666666664,36.666666666666664,101.0,0.0
P_Dur,mean,1,3,0,31.76363636363636,31.76363636363636,54.0,0.0
P_Dur,iqr,1,3,0,25.333333333333332,25.333333333333332,41.0,0.0
PQ_Int,mean,13,39,0,16.8917748917749,33.19480519480519,30.909090909090907,0.0
PR_Int,mean,13,39,0,16.848484848484855,35.35064935064937,32.18181818181819,0.0
PR_Int,iqr,13,39,0,16.0,26.666666666666668,27.0,0.0
P_DurFull,iqr,12,36,0,15.666666666666668,25.333333333333332,30.0,0.0
PQ_Int,iqr,13,39,0,15.666666666666666,26.0,29.0,0.0
P_DurFull,mean,12,36,0,14.44588744588745,21.87012987012987,26.441558441558442,0.0
RR_Mean,mean,1,3,0,11.393939393939377,11.393939393939377,20.0,0.0
RR_Mean,iqr,1,3,0,10.166666666666666,10.166666666666666,21.0,0.0
QRS_Dur,mean,13,39,0,2.2510822510822472,4.995670995671001,5.272727272727266,0.0
QRS_Dur,iqr,13,39,0,1.6666666666666667,13.666666666666666,3.0,0.0
QT_IntFramingham,count,1,3,0,1.0,1.0,1.0,0.0
RR_Mean,count,1,3,0,1.0,1.0,1.0,0.0
R_Amp,mean,12,36,0,0.08191663701902105,0.9243436027003762,0.15418522608585844,0.0
T_Amp,mean,12,36,0,0.0664726793053224,0.2247838604243653,0.1205485088517856,0.0
T_Amp,iqr,12,36,0,0.06548648604859285,0.1432456181522704,0.1283256630952147,0.0
P_Amp,iqr,12,36,0,0.057937235551632,0.1037763660080395,0.09567574757147454,0.0
S_Amp,iqr,12,36,0,0.05703917935764895,0.1601670087565454,0.09767334821392046,0.0
R_Amp,iqr,12,36,0,0.054952088217926895,0.2374489983854288,0.0845356806915471,0.0
S_Amp,mean,12,36,0,0.04728868529550425,0.1788587114409101,0.1014849617299165,0.0
Q_Amp,iqr,12,36,0,0.045304352401605755,0.1219899383166632,0.0682780522463045,0.0
Q_Amp,mean,12,36,0,0.03676661670825375,0.656533569463167,0.06244575371802985,0.0
P_Amp,mean,12,36,0,0.0334217695580293,0.0527306286064704,0.04630735013919395,0.0
PQ_Int,count,13,39,13,0.0,0.0,0.0,1.0
PR_Int,count,13,39,13,0.0,0.0,0.0,1.0
P_Amp,count,12,36,12,0.0,0.0,0.0,1.0
P_Dur,count,1,3,1,0.0,0.0,0.0,1.0
P_DurFull,count,12,36,12,0.0,0.0,0.0,1.0
QRS_Dur,count,13,39,13,0.0,0.0,0.0,1.0
QT_Int,count,13,39,13,0.0,0.0,0.0,1.0
Q_Amp,count,12,36,12,0.0,0.0,0.0,1.0
R_Amp,count,12,36,12,0.0,0.0,0.0,1.0
S_Amp,count,12,36,12,0.0,0.0,0.0,1.0
T_Amp,count,12,36,12,0.0,0.0,0.0,1.0
T_Dur,count,1,3,1,0.0,0.0,0.0,1.0
T_DurFull,count,12,36,12,0.0,0.0,0.0,1.0
